,time.sampled,FLAElapsed,std.ref
stn3-d2-bulk-pul-1-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-pul-1-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-pul-1-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-pul-1-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-pul-1-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-pul-2-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-pul-2-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-pul-2-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-pul-2-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-pul-2-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-pul-3-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-pul-3-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-pul-3-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-pul-3-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-pul-3-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-pul-x-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-pul-x-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-pul-x-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-pul-x-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-pul-x-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-lam-1-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-lam-1-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-lam-1-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-lam-1-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-lam-1-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-lam-2-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-lam-2-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-lam-2-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-lam-2-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-lam-2-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-lam-3-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-lam-3-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-lam-3-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-lam-3-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-lam-3-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-lam-x-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-lam-x-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-lam-x-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-lam-x-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-lam-x-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-xyl-1-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-xyl-1-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-xyl-1-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-xyl-1-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-xyl-1-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-xyl-2-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-xyl-2-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-xyl-2-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-xyl-2-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-xyl-2-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-xyl-3-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-xyl-3-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-xyl-3-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-xyl-3-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-xyl-3-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-xyl-x-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-xyl-x-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-xyl-x-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-xyl-x-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-xyl-x-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-fuc-1-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-fuc-1-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-fuc-1-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-fuc-1-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-fuc-1-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-fuc-2-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-fuc-2-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-fuc-2-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-fuc-2-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-fuc-2-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-fuc-3-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-fuc-3-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-fuc-3-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-fuc-3-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-fuc-3-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-fuc-x-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-fuc-x-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-fuc-x-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-fuc-x-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-fuc-x-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-ara-1-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-ara-1-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-ara-1-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-ara-1-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-ara-1-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-ara-2-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-ara-2-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-ara-2-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-ara-2-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-ara-2-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-ara-3-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-ara-3-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-ara-3-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-ara-3-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-ara-3-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-ara-x-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-ara-x-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-ara-x-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-ara-x-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-ara-x-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-chn-1-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-chn-1-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-chn-1-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-chn-1-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-chn-1-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-chn-2-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-chn-2-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-chn-2-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-chn-2-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-chn-2-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-chn-3-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-chn-3-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-chn-3-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-chn-3-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-chn-3-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
stn3-d2-bulk-chn-x-t0,11/9/2018 20:05,0,stdbins-gpc3-030120
stn3-d2-bulk-chn-x-t1,11/12/2018 21:01,72.93333333,stdbins-gpc3-030120
stn3-d2-bulk-chn-x-t2,11/16/2018 19:26,167.35,stdbins-gpc3-030120
stn3-d2-bulk-chn-x-t3,11/19/2018 18:39,238.5666667,stdbins-gpc3-030120
stn3-d2-bulk-chn-x-t4,11/29/2018 16:11,476.1,stdbins-gpc3-030120
